order_count,cancel_count,fill_count,avg_order_size,std_order_size,cancel_to_fill_ratio,time_between_orders_mean,time_between_orders_std,price_distance_from_touch_mean,volume_concentration_herfindahl,order_book_side_imbalance,intraday_volatility,label
10,9,1,1000,150,9.0,0.2,0.05,0.01,0.9,0.8,0.03,1
8,1,6,120,20,0.16,1.2,0.4,0.0,0.4,0.1,0.01,0
12,11,1,800,130,11.0,0.15,0.04,0.02,0.85,0.75,0.04,1
9,2,5,100,15,0.4,1.0,0.3,0.0,0.5,0.0,0.01,0
11,10,1,900,140,10.0,0.2,0.05,0.02,0.88,0.7,0.03,1
7,1,5,110,18,0.2,1.1,0.35,0.0,0.45,0.05,0.01,0
13,12,1,950,160,12.0,0.18,0.06,0.02,0.9,0.8,0.04,1
8,1,6,130,22,0.16,1.3,0.4,0.0,0.42,0.02,0.01,0
14,13,1,980,170,13.0,0.17,0.05,0.02,0.92,0.85,0.05,1
9,1,7,115,20,0.14,1.2,0.38,0.0,0.43,0.03,0.01,0
